AEROLANDIA;AEROPORTO;ALAGADICO;ALDEOTA;ALTO DA BALANCA;ALVARO WEYNE;AMADEU FURTADO;ANCURI;ANTONIO BEZERRA;ARRAIAL MOURA BRASIL;AUTRAN NUNES;BARRA DO CEARA;BARROSO;BELA VISTA;BENFICA;BOM FUTURO;BOM JARDIM;BONSUCESSO;CAIS DO PORTO;CAJAZEIRAS;CAMBEBA;CANINDEZINHO;CARLITO PAMPLONA;CASTELAO;CENTRO;CIDADE 2000;CIDADE DOS FUNCIONARIOS;COACU;COCO;CONJUNTO CEARA I;CONJUNTO CEARA II;CONJUNTO ESPERANCA;CONJUNTO PALMEIRAS;COUTO FERNANDES;CRISTO REDENTOR;CURIO;DAMAS;DE LOURDES;DEMOCRITO ROCHA;DENDE;DIAS MACEDO;DIONISIO TORRES;DOM LUSTOSA;EDSON QUEIROZ;ENGENHEIRO LUCIANO CAVALCANTE;FARIAS BRITO;FATIMA;FLORESTA;GENIBAU;GENTILANDIA;GRANJA LISBOA;GRANJA PORTUGAL;GUAJERU;GUARARAPES;HENRIQUE JORGE;ITAOCA;ITAPERI;JACARECANGA;JANGURUSSU;JARDIM AMERICA;JARDIM CEARENSE;JARDIM DAS OLIVEIRAS;JARDIM GUANABARA;JARDIM IRACEMA;JOAO XXIII;JOAQUIM TAVORA;JOQUEI CLUB;JOSE BONIFACIO;JOSE DE ALENCAR;LAGOA REDONDA;LAGOA SAPIRANGA;MANOEL SATIRO;MANUEL DIAS BRANCO;MARAPONGA;MATA GALINHA;MEIRELES;MESSEJANA;MONDUBIM;MONTE CASTELO;MONTESE;MUCURIPE;PADRE ANDRADE;PAN-AMERICANO;PAPICU;PARANGABA;PARQUE ARAXA;PARQUE DOIS IRMAOS;PARQUE IRACEMA;PARQUE MANIBURA;PARQUE PRESIDENTE VARGAS;PARQUE SANTA ROSA;PARQUE SAO JOSE;PARQUELANDIA;PARREAO;PASSARE;PAUPINA;PEDRAS;PICI;PIRAMBU;PLANALTO AYRTON SENNA;PRAIA DE IRACEMA;PRAIA DO FUTURO I;PRAIA DO FUTURO II;PREFEITO JOSE WALTER;PRESIDENTE KENNEDY;QUINTINO CUNHA;RODOLFO TEOFILO;SABIAGUABA;SALINAS;SAO BENTO;SAO JOAO DO TAUAPE;SERRINHA;SIQUEIRA;VARJOTA;VICENTE PINZON;VILA ELLERY;VILA PERY;VILA UNIAO;VILA VELHA;DATA
15.0;8.0;3.0;22.0;4.0;11.0;5.0;17.0;48.0;1.0;28.0;12.0;13.0;7.0;1.0;3.0;30.0;37.0;11.0;4.0;11.0;37.0;10.0;10.0;12.0;11.0;10.0;12.0;5.0;8.0;6.0;16.0;31.0;6.0;3.0;6.0;7.0;2.0;8.0;0.0;7.0;5.0;7.0;13.0;35.0;4.0;5.0;10.0;32.0;4.0;21.0;21.0;8.0;3.0;22.0;4.0;14.0;6.0;39.0;7.0;3.0;32.0;8.0;7.0;9.0;27.0;12.0;1.0;11.0;38.0;36.0;18.0;1.0;10.0;5.0;6.0;74.0;43.0;5.0;13.0;2.0;28.0;3.0;19.0;13.0;2.0;9.0;2.0;5.0;6.0;19.0;9.0;7.0;1.0;21.0;12.0;4.0;21.0;1.0;29.0;1.0;3.0;5.0;24.0;10.0;48.0;12.0;1.0;3.0;20.0;50.0;20.0;34.0;0.0;17.0;9.0;8.0;7.0;19.0;2011-03-12
17.0;13.0;6.0;23.0;14.0;12.0;6.0;17.0;33.0;1.0;45.0;8.0;32.0;9.0;4.0;2.0;27.0;35.0;11.0;2.0;3.0;29.0;8.0;12.0;11.0;3.0;14.0;8.0;7.0;10.0;6.0;14.0;28.0;4.0;9.0;13.0;12.0;1.0;5.0;0.0;8.0;9.0;12.0;17.0;43.0;8.0;11.0;3.0;41.0;6.0;51.0;29.0;9.0;0.0;25.0;11.0;17.0;3.0;35.0;10.0;3.0;41.0;16.0;2.0;16.0;30.0;23.0;0.0;7.0;39.0;38.0;44.0;1.0;13.0;7.0;6.0;67.0;44.0;3.0;18.0;7.0;12.0;3.0;21.0;17.0;2.0;5.0;5.0;2.0;4.0;11.0;19.0;12.0;4.0;20.0;21.0;0.0;16.0;3.0;37.0;2.0;12.0;7.0;15.0;8.0;32.0;13.0;1.0;3.0;35.0;60.0;25.0;29.0;1.0;25.0;10.0;17.0;19.0;25.0;2011-03-19
28.0;15.0;9.0;28.0;37.0;13.0;14.0;15.0;50.0;2.0;43.0;20.0;48.0;21.0;4.0;7.0;29.0;52.0;11.0;11.0;7.0;37.0;11.0;13.0;20.0;5.0;23.0;8.0;4.0;15.0;16.0;13.0;43.0;6.0;10.0;22.0;8.0;4.0;4.0;0.0;20.0;12.0;11.0;22.0;38.0;7.0;10.0;13.0;53.0;5.0;24.0;41.0;6.0;2.0;26.0;9.0;22.0;8.0;38.0;14.0;7.0;30.0;19.0;8.0;20.0;32.0;23.0;5.0;14.0;43.0;41.0;45.0;0.0;10.0;10.0;14.0;100.0;70.0;5.0;22.0;8.0;44.0;7.0;29.0;25.0;5.0;10.0;3.0;5.0;13.0;18.0;9.0;10.0;4.0;39.0;17.0;1.0;35.0;6.0;24.0;4.0;15.0;7.0;16.0;7.0;35.0;28.0;1.0;5.0;16.0;71.0;27.0;22.0;2.0;11.0;8.0;14.0;22.0;37.0;2011-03-26
55.0;13.0;7.0;33.0;62.0;43.0;15.0;18.0;49.0;1.0;39.0;27.0;67.0;31.0;13.0;7.0;54.0;86.0;25.0;7.0;11.0;36.0;14.0;16.0;26.0;20.0;38.0;6.0;6.0;17.0;17.0;17.0;60.0;7.0;27.0;17.0;13.0;4.0;8.0;2.0;12.0;14.0;19.0;31.0;41.0;9.0;20.0;10.0;43.0;3.0;44.0;33.0;6.0;2.0;24.0;18.0;18.0;13.0;61.0;18.0;7.0;64.0;20.0;13.0;31.0;40.0;25.0;4.0;20.0;47.0;42.0;38.0;2.0;13.0;6.0;16.0;97.0;66.0;9.0;39.0;9.0;35.0;11.0;31.0;42.0;4.0;6.0;1.0;6.0;3.0;18.0;20.0;19.0;7.0;50.0;17.0;1.0;27.0;4.0;21.0;2.0;9.0;8.0;27.0;21.0;73.0;35.0;0.0;5.0;15.0;94.0;56.0;36.0;4.0;48.0;6.0;25.0;20.0;25.0;2011-04-02
76.0;17.0;10.0;28.0;79.0;26.0;20.0;12.0;53.0;1.0;39.0;26.0;81.0;17.0;11.0;9.0;55.0;115.0;23.0;7.0;8.0;36.0;9.0;16.0;23.0;15.0;19.0;5.0;11.0;29.0;18.0;19.0;68.0;7.0;13.0;12.0;10.0;1.0;18.0;2.0;16.0;19.0;15.0;26.0;34.0;3.0;19.0;15.0;45.0;8.0;43.0;40.0;6.0;0.0;32.0;17.0;22.0;10.0;56.0;20.0;8.0;52.0;16.0;10.0;32.0;35.0;35.0;7.0;21.0;51.0;33.0;51.0;1.0;17.0;11.0;13.0;83.0;75.0;11.0;32.0;11.0;49.0;7.0;39.0;35.0;10.0;17.0;5.0;3.0;8.0;14.0;15.0;13.0;12.0;58.0;11.0;1.0;35.0;9.0;21.0;6.0;13.0;10.0;22.0;18.0;47.0;40.0;3.0;6.0;10.0;92.0;48.0;27.0;3.0;41.0;8.0;25.0;27.0;23.0;2011-04-09
69.0;13.0;11.0;27.0;78.0;26.0;11.0;10.0;37.0;1.0;20.0;30.0;68.0;14.0;7.0;8.0;46.0;73.0;22.0;9.0;4.0;38.0;15.0;9.0;21.0;17.0;24.0;4.0;9.0;19.0;12.0;10.0;48.0;6.0;11.0;14.0;12.0;2.0;12.0;1.0;25.0;9.0;6.0;40.0;32.0;5.0;16.0;22.0;57.0;6.0;44.0;47.0;4.0;1.0;35.0;11.0;11.0;10.0;38.0;18.0;7.0;41.0;9.0;10.0;13.0;41.0;27.0;3.0;10.0;45.0;25.0;34.0;2.0;18.0;5.0;15.0;56.0;61.0;8.0;28.0;5.0;21.0;8.0;22.0;29.0;3.0;18.0;1.0;5.0;3.0;17.0;7.0;11.0;18.0;53.0;7.0;3.0;39.0;5.0;25.0;5.0;11.0;10.0;26.0;20.0;38.0;35.0;1.0;5.0;5.0;121.0;46.0;20.0;3.0;40.0;1.0;19.0;24.0;36.0;2011-04-16
42.0;14.0;6.0;26.0;65.0;13.0;5.0;12.0;48.0;3.0;21.0;25.0;57.0;16.0;7.0;9.0;36.0;58.0;38.0;4.0;5.0;23.0;13.0;20.0;16.0;9.0;28.0;5.0;3.0;20.0;12.0;16.0;25.0;3.0;9.0;12.0;9.0;3.0;6.0;1.0;20.0;22.0;10.0;45.0;28.0;9.0;20.0;15.0;45.0;5.0;21.0;29.0;7.0;0.0;22.0;23.0;16.0;11.0;41.0;25.0;6.0;51.0;7.0;8.0;23.0;35.0;20.0;2.0;12.0;36.0;30.0;39.0;5.0;14.0;8.0;17.0;64.0;47.0;7.0;20.0;11.0;17.0;12.0;28.0;33.0;6.0;5.0;2.0;3.0;2.0;13.0;20.0;15.0;6.0;35.0;6.0;2.0;41.0;11.0;35.0;3.0;11.0;3.0;34.0;11.0;36.0;43.0;0.0;12.0;6.0;117.0;41.0;16.0;3.0;43.0;1.0;18.0;19.0;13.0;2011-04-23
35.0;5.0;9.0;14.0;43.0;13.0;9.0;9.0;29.0;0.0;23.0;34.0;61.0;10.0;5.0;4.0;42.0;31.0;30.0;8.0;3.0;25.0;8.0;19.0;20.0;10.0;23.0;0.0;7.0;10.0;10.0;15.0;32.0;2.0;6.0;15.0;8.0;1.0;16.0;0.0;20.0;6.0;5.0;30.0;32.0;6.0;9.0;19.0;37.0;4.0;19.0;31.0;3.0;0.0;14.0;13.0;14.0;13.0;28.0;18.0;8.0;50.0;7.0;12.0;18.0;22.0;20.0;2.0;7.0;38.0;21.0;22.0;4.0;8.0;5.0;7.0;46.0;48.0;11.0;17.0;5.0;19.0;6.0;17.0;21.0;8.0;8.0;2.0;6.0;2.0;10.0;17.0;6.0;7.0;30.0;12.0;0.0;29.0;7.0;28.0;1.0;19.0;16.0;22.0;9.0;24.0;19.0;0.0;6.0;7.0;66.0;35.0;22.0;2.0;48.0;5.0;6.0;18.0;19.0;2011-04-30
19.0;9.0;5.0;12.0;33.0;12.0;8.0;9.0;31.0;1.0;19.0;20.0;55.0;11.0;5.0;2.0;48.0;30.0;52.0;7.0;4.0;27.0;10.0;11.0;13.0;5.0;5.0;0.0;1.0;7.0;12.0;11.0;22.0;3.0;9.0;16.0;1.0;2.0;13.0;1.0;9.0;3.0;9.0;14.0;20.0;2.0;7.0;11.0;37.0;2.0;20.0;25.0;2.0;0.0;12.0;7.0;13.0;7.0;29.0;14.0;3.0;40.0;7.0;9.0;13.0;16.0;15.0;3.0;12.0;33.0;13.0;32.0;1.0;8.0;3.0;8.0;47.0;50.0;4.0;10.0;5.0;7.0;9.0;14.0;20.0;3.0;7.0;1.0;1.0;3.0;12.0;19.0;8.0;6.0;33.0;10.0;0.0;21.0;5.0;33.0;1.0;27.0;15.0;20.0;10.0;13.0;26.0;1.0;2.0;8.0;60.0;27.0;15.0;6.0;79.0;2.0;7.0;11.0;20.0;2011-05-07
25.0;2.0;4.0;12.0;35.0;11.0;2.0;5.0;26.0;0.0;25.0;23.0;40.0;10.0;7.0;1.0;30.0;31.0;69.0;7.0;2.0;9.0;6.0;13.0;8.0;5.0;12.0;3.0;6.0;10.0;10.0;9.0;11.0;2.0;14.0;11.0;4.0;2.0;10.0;3.0;7.0;5.0;10.0;21.0;13.0;6.0;4.0;7.0;29.0;0.0;14.0;11.0;2.0;1.0;15.0;2.0;15.0;4.0;32.0;1.0;2.0;40.0;7.0;5.0;12.0;12.0;8.0;2.0;8.0;22.0;16.0;17.0;2.0;7.0;3.0;14.0;46.0;38.0;3.0;8.0;6.0;13.0;7.0;15.0;11.0;4.0;2.0;0.0;1.0;0.0;15.0;12.0;7.0;2.0;29.0;4.0;1.0;21.0;9.0;20.0;0.0;29.0;12.0;14.0;7.0;25.0;16.0;1.0;3.0;6.0;40.0;11.0;15.0;8.0;112.0;3.0;8.0;8.0;23.0;2011-05-14
